ID,List,Item,Condition,Matrix_num,Match,phrase_type,Preamble,meanRTperword,Correct,RT,Exp
5a073f1c1a4c780001d9e894,0,85,filler,-,-,-,This chain,0.0,1,1069,EXP6
5a073f1c1a4c780001d9e894,0,32,ss_rel,s,1,rel,The ruler who enslaved the city-state,0.0,0,1500,EXP6
5a073f1c1a4c780001d9e894,0,33,filler,-,-,-,The unhappy man,0.0,1,1133,EXP6
5a073f1c1a4c780001d9e894,0,55,filler,-,-,-,Some chairs,0.0,0,1070,EXP6
5a073f1c1a4c780001d9e894,0,25,pp_prep,p,1,prep,The directors of the forthcoming motion pictures,0.0,1,780,EXP6
5a073f1c1a4c780001d9e894,0,41,filler,-,-,-,A helpless lamb,0.0,1,1138,EXP6
5a073f1c1a4c780001d9e894,0,72,filler,-,-,-,A staircase,0.0,1,1163,EXP6
5a073f1c1a4c780001d9e894,0,22,ps_rel,p,0,rel,The composers who rewrote the opera,0.0,1,743,EXP6
5a073f1c1a4c780001d9e894,0,88,filler,-,-,-,Those shoes,0.0,1,1374,EXP6
5a073f1c1a4c780001d9e894,0,19,sp_prep,s,0,prep,The star of the Broadway musicals,0.0,1,994,EXP6
5a073f1c1a4c780001d9e894,0,86,filler,-,-,-,That dull razor,0.0,1,1030,EXP6
5a073f1c1a4c780001d9e894,0,46,filler,-,-,-,The policemen,0.0,0,1229,EXP6
5a073f1c1a4c780001d9e894,0,21,pp_rel,p,1,rel,The pictures that embarrassed the politicians,0.0,1,825,EXP6
5a073f1c1a4c780001d9e894,0,37,filler,-,-,-,These hungry boys,0.0,1,1265,EXP6
5a073f1c1a4c780001d9e894,0,71,filler,-,-,-,Those plants,0.0,1,1197,EXP6
5a073f1c1a4c780001d9e894,0,20,ss_prep,s,1,prep,The corporation with the banking monopoly,0.0,1,1296,EXP6
5a073f1c1a4c780001d9e894,0,59,filler,-,-,-,These crooked prongs,0.0,1,926,EXP6
5a073f1c1a4c780001d9e894,0,40,filler,-,-,-,Those unlucky firemen,0.0,1,1045,EXP6
5a073f1c1a4c780001d9e894,0,23,sp_rel,s,0,rel,The teacher who received the education certificates,0.0,1,1125,EXP6
